op,calls,self_device_ms,device_total_ms,self_cpu_ms,self_device_mem_mb,intensity_hint
aten::bmm,99,18.996431000000012,19.209450000000004,0.8799670000000005,18.57421875,compute_bound_likely
aten::mm,238,7.304690000000012,7.304690000000012,2.1749840000000065,0.0,compute_bound_likely
triton_poi_fused_add_slice_backward_69,1,5.414508999999998,5.414508999999998,0.013690999999998893,0.0,compute_bound_likely
triton_poi_fused_add_slice_backward_69,1,5.414508999999998,5.414508999999998,0.0,0.0,compute_bound_likely
aten::scatter_reduce_,5,5.340014000000002,5.340014000000002,0.0789820000000027,0.0,io_bound_likely
"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, c10::BFloat16, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, c10::BFloat16, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1})",5,5.340014000000002,5.340014000000002,0.0,0.0,io_bound_likely
void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nt_align1>(cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nt_align1::Params),8,3.7934869999999936,3.7934869999999936,0.0,0.0,compute_bound_likely
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align8::Params),29,3.305370000000009,3.305370000000009,0.0,0.0,compute_bound_likely
void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align1>(cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align1::Params),9,2.3354389999999965,2.3354389999999965,0.0,0.0,compute_bound_likely
"void gemv2N_kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 128, 2, 4, 4, 1, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>)",12,1.8098490000000012,1.8098490000000012,0.0,0.0,mixed
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_tt_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_tt_align8::Params),6,1.785659999999998,1.785659999999998,0.0,0.0,compute_bound_likely
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_tn_align8::Params),6,1.7376280000000006,1.7376280000000006,0.0,0.0,compute_bound_likely
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_nt_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_nt_align8::Params),8,1.4355549999999966,1.4355549999999966,0.0,0.0,compute_bound_likely
triton_poi_fused_add_slice_backward_41,1,1.41725,1.41725,0.007809999999999491,0.0,mixed
triton_poi_fused_add_slice_backward_41,1,1.41725,1.41725,0.0,0.0,mixed
"std::enable_if<true, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, true, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>)",11,1.2567720000000027,1.2567720000000027,0.0,0.0,mixed
"void gemmk1_kernel<int, float, 256, 5, false, false, false, false, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float, biasType<cublasGemvTensorStridedBatched<__nv_bfloat16>::value_type, float>::type>)",11,1.150984000000004,1.150984000000004,0.0,0.0,compute_bound_likely
triton_poi_fused_add_126,1,1.1357520000000003,1.1357520000000003,0.02712199999999939,0.0,mixed
triton_poi_fused_add_126,1,1.1357520000000003,1.1357520000000003,0.0,0.0,mixed
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, false, true, true, false, 5, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>)",9,0.921739000000006,0.921739000000006,0.0,0.0,mixed
triton_poi_fused_cat_30,1,0.7407520000000004,0.7407520000000004,0.0063100000000004,0.0,mixed
triton_poi_fused_cat_30,1,0.7407520000000004,0.7407520000000004,0.0,0.0,mixed
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8::Params),15,0.5155429999999942,0.5155429999999942,0.0,0.0,compute_bound_likely
triton_poi_fused_clone_106,2,0.5128859999999986,0.5128859999999986,0.013390999999997802,0.0,mixed
triton_poi_fused_clone_106,2,0.5128859999999986,0.5128859999999986,0.0,0.0,mixed
triton_poi_fused_add_131,1,0.5032849999999999,0.5032849999999999,0.008090000000001964,0.0,mixed
triton_poi_fused_add_131,1,0.5032849999999999,0.5032849999999999,0.0,0.0,mixed
"void gemmk1_kernel<int, float, 256, 5, true, false, false, false, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float, biasType<cublasGemvTensorStridedBatched<__nv_bfloat16>::value_type, float>::type>)",4,0.4473520000000026,0.4473520000000026,0.0,0.0,compute_bound_likely
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nt_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nt_align8::Params),6,0.4085350000000035,0.4085350000000035,0.0,0.0,compute_bound_likely
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_tn_align8::Params),7,0.381559999999994,0.381559999999994,0.0,0.0,compute_bound_likely
