op,calls,self_device_ms,device_total_ms,self_cpu_ms,self_device_mem_mb,intensity_hint
aten::bmm,57,45.036509000000166,45.036509000000166,0.6034109999997308,760.029296875,compute_bound_likely
ampere_sgemm_128x128_nt,7,26.39754799999995,26.39754799999995,0.0,0.0,compute_bound_likely
aten::copy_,311,21.32852699999942,21.32852699999942,0.9018089999994263,0.0,io_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",255,19.702976999999343,19.702976999999343,0.0,0.0,io_bound_likely
aten::mul,403,17.830105000000053,17.830105000000053,2.526908000000818,2467.27294921875,mixed
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",223,16.511155999999602,16.511155999999602,0.0,0.0,compute_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",171,15.795930000000139,15.795930000000139,0.0,0.0,compute_bound_likely
aten::add,148,11.389208999999667,11.389208999999667,0.9170490000005311,1209.65185546875,mixed
aten::mm,175,8.386397000000319,8.386397000000319,2.2733850000005,773.6103515625,compute_bound_likely
aten::add_,102,7.387442999999912,7.387442999999912,0.4242059999999765,0.0,compute_bound_likely
aten::sum,66,7.051566999999894,7.051566999999894,0.42235399999978834,190.98193359375,mixed
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",49,6.568969999999885,6.568969999999885,0.0,0.0,compute_bound_likely
aten::fill_,202,5.924104999999786,5.924104999999786,0.46179499999918516,0.0,compute_bound_likely
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",202,5.924104999999786,5.924104999999786,0.0,0.0,compute_bound_likely
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",4,5.571646999999997,5.571646999999997,0.0,0.0,compute_bound_likely
aten::cat,15,3.01264200000008,3.01264200000008,0.18039500000007683,6.98779296875,mixed
