op,calls,self_device_ms,device_total_ms,self_cpu_ms,self_device_mem_mb,intensity_hint
aten::bmm,33,72.45564299999995,72.45564299999995,0.42182299999985845,1454.541015625,compute_bound_likely
aten::copy_,160,50.00314999999999,50.00314999999999,0.49220899999994433,0.0,io_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",141,47.61636000000025,47.61636000000025,0.0,0.0,io_bound_likely
ampere_sgemm_128x128_nt,2,37.78100099999999,37.78100099999999,0.0,0.0,compute_bound_likely
aten::mul,213,29.786021999999516,29.786021999999516,1.6469659999992714,4348.98388671875,mixed
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",94,27.260348999999433,27.260348999999433,0.0,0.0,compute_bound_likely
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",103,24.43003499999973,24.43003499999973,0.0,0.0,compute_bound_likely
aten::add_,84,21.764038999999816,21.764038999999816,0.38319299999967915,0.0,compute_bound_likely
aten::mm,89,12.963472000000161,12.963472000000161,1.3417940000001254,1663.2568359375,compute_bound_likely
aten::sum,34,10.421195000000065,10.421195000000065,0.22335699999987263,274.0771484375,mixed
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",24,9.749152000000118,9.749152000000118,0.0,0.0,compute_bound_likely
aten::add,36,8.783665000000044,8.783665000000044,0.28671100000021627,866.31298828125,mixed
aten::fill_,92,8.777387999999668,8.777387999999668,0.19947799999964308,0.0,compute_bound_likely
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",92,8.777387999999668,8.777387999999668,0.0,0.0,compute_bound_likely
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",2,8.406281000000018,8.406281000000018,0.0,0.0,compute_bound_likely
ampere_sgemm_128x128_tt,2,8.125380000000005,8.125380000000005,0.0,0.0,compute_bound_likely
aten::cat,15,6.716719000000012,6.716719000000012,0.2138060000000696,143.68115234375,mixed
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_alignedK_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1, 16>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",9,6.477130000000004,6.477130000000004,0.0,0.0,io_bound_likely
aten::scatter_add_,4,6.444200000000033,6.444200000000033,0.06166200000000663,0.0,io_bound_likely
"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, float, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, float, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1})",4,6.444200000000033,6.444200000000033,0.0,0.0,io_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",10,6.107620000000112,6.107620000000112,0.0,0.0,compute_bound_likely
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",4,4.32842299999998,4.32842299999998,0.0,0.0,mixed
ampere_sgemm_128x128_tn,3,4.021570000000007,4.021570000000007,0.0,0.0,compute_bound_likely
aten::gather,3,4.007744999999937,4.007744999999937,0.04879100000002654,994.0029296875,mixed
ampere_sgemm_32x128_tn,32,3.9319979999999632,3.9319979999999632,0.0,0.0,compute_bound_likely
ampere_sgemm_32x128_nn,39,3.8143360000001194,3.8143360000001194,0.0,0.0,compute_bound_likely
"void gemmk1_kernel<int, float, 256, 5, false, false, true, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, biasType<cublasGemvTensorStridedBatched<float>::value_type, float>::type>)",9,3.579609999999986,3.579609999999986,0.0,0.0,compute_bound_likely
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 5, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",12,2.9048799999999755,2.9048799999999755,0.0,0.0,mixed
Memcpy DtoD (Device -> Device),18,2.384645999999775,2.384645999999775,0.0,0.0,mixed
ampere_sgemm_128x128_nn,3,2.043840999999986,2.043840999999986,0.0,0.0,compute_bound_likely
