op,calls,self_device_ms,device_total_ms,self_cpu_ms,self_device_mem_mb,intensity_hint
aten::bmm,57,135.29850900000147,135.29850900000147,0.712096999999485,2221.14453125,compute_bound_likely
ampere_sgemm_128x128_nt,7,80.19931000000005,80.19931000000005,0.0,0.0,compute_bound_likely
aten::copy_,311,70.3887789999994,70.3887789999994,0.8856120000008959,0.0,io_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",255,65.59264899999904,65.59264899999904,0.0,0.0,io_bound_likely
aten::mul,403,52.87872100000084,52.87872100000084,2.5536089999983815,7403.30712890625,mixed
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",223,49.58324800000027,49.58324800000027,0.0,0.0,compute_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",171,47.18507999999984,47.18507999999984,0.0,0.0,compute_bound_likely
aten::add,148,34.41504699999931,34.41504699999931,0.8325309999992533,3615.21630859375,mixed
aten::mm,175,22.38836699999871,22.38836699999871,2.17293099999908,2289.1748046875,compute_bound_likely
aten::add_,102,22.151238000000127,22.151238000000127,0.43879199999780394,0.0,compute_bound_likely
aten::sum,66,20.831445999999413,20.831445999999413,0.43796200000238605,546.90185546875,mixed
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",49,19.50013299999875,19.50013299999875,0.0,0.0,compute_bound_likely
aten::fill_,202,17.680266000000454,17.680266000000454,0.4147940000006565,0.0,compute_bound_likely
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",202,17.680266000000454,17.680266000000454,0.0,0.0,compute_bound_likely
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",4,16.809726999999956,16.809726999999956,0.0,0.0,compute_bound_likely
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",6,8.31956799999997,8.31956799999997,0.0,0.0,compute_bound_likely
ampere_sgemm_128x128_tt,2,8.12263599999994,8.12263599999994,0.0,0.0,compute_bound_likely
ampere_sgemm_128x128_tn,6,8.04820299999998,8.04820299999998,0.0,0.0,compute_bound_likely
aten::gather,6,8.002346000000136,8.002346000000136,0.06223200000077486,1988.005859375,mixed
"void gemmk1_kernel<int, float, 256, 5, false, false, true, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, biasType<cublasGemvTensorStridedBatched<float>::value_type, float>::type>)",18,7.152384000000777,7.152384000000777,0.0,0.0,compute_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",18,7.1362869999995455,7.1362869999995455,0.0,0.0,compute_bound_likely
aten::cat,15,6.716886999999638,6.716886999999638,0.17720300000044517,142.55615234375,mixed
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_alignedK_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1, 16>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",9,6.477205999999889,6.477205999999889,0.0,0.0,io_bound_likely
aten::scatter_add_,4,6.447189999999944,6.447189999999944,0.07719199999966804,0.0,io_bound_likely
"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, float, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, float, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1})",4,6.447189999999944,6.447189999999944,0.0,0.0,io_bound_likely
ampere_sgemm_32x128_tn,57,6.0404340000017545,6.0404340000017545,0.0,0.0,compute_bound_likely
ampere_sgemm_32x128_nn,45,5.295177999999374,5.295177999999374,0.0,0.0,compute_bound_likely
Memcpy DtoD (Device -> Device),55,4.793889000000432,4.793889000000432,0.0,0.0,mixed
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 5, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",18,4.712190000000177,4.712190000000177,0.0,0.0,mixed
ampere_sgemm_64x64_tn,4,3.498863999999594,3.498863999999594,0.0,0.0,compute_bound_likely
