op,calls,self_device_ms,device_total_ms,self_cpu_ms,self_device_mem_mb,intensity_hint
aten::bmm,57,136.7582490000002,136.7582490000002,0.6625589999998338,2224.14453125,compute_bound_likely
ampere_sgemm_128x128_nt,7,81.68165200000011,81.68165200000011,0.0,0.0,compute_bound_likely
aten::copy_,309,72.18670399999971,72.18670399999971,0.9286009999994712,0.0,io_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",255,67.3887409999996,67.3887409999996,0.0,0.0,io_bound_likely
aten::mul,403,52.873613999999954,52.873613999999954,2.5105600000012225,7401.03955078125,mixed
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",225,50.11377099999958,50.11377099999958,0.0,0.0,compute_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",171,47.17788099999979,47.17788099999979,0.0,0.0,compute_bound_likely
aten::add,150,34.93945400000032,34.93945400000032,0.932805000000364,3618.45654296875,mixed
aten::mm,175,22.403543999999854,22.403543999999854,2.1312039999997,2283.0341796875,compute_bound_likely
aten::add_,102,22.154395999999544,22.154395999999544,0.40751199999963866,0.0,compute_bound_likely
aten::sum,65,20.852420000000276,20.852420000000276,0.39888400000002,547.14892578125,mixed
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",49,19.522990000000224,19.522990000000224,0.0,0.0,compute_bound_likely
aten::fill_,202,17.927442000000454,17.927442000000454,0.4096970000001861,0.0,compute_bound_likely
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",202,17.927442000000454,17.927442000000454,0.0,0.0,compute_bound_likely
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",4,16.801476999999895,16.801476999999895,0.0,0.0,compute_bound_likely
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",6,8.318206999999996,8.318206999999996,0.0,0.0,compute_bound_likely
aten::index_add_,4,8.294209000000002,8.294209000000002,0.0642130000001098,0.0,io_bound_likely
"void at::native::indexFuncLargeIndex<float, long, unsigned int, 2, 2, -2, true, at::native::(anonymous namespace)::ReduceAdd>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long, long, at::native::(anonymous namespace)::ReduceAdd const&, float)",2,8.287073000000005,8.287073000000005,0.0,0.0,io_bound_likely
ampere_sgemm_128x128_tt,2,8.129693999999988,8.129693999999988,0.0,0.0,compute_bound_likely
ampere_sgemm_128x128_tn,6,8.037755999999995,8.037755999999995,0.0,0.0,compute_bound_likely
aten::gather,6,8.000379999999947,8.000379999999947,0.0392510000000475,0.0,compute_bound_likely
"void gemmk1_kernel<int, float, 256, 5, false, false, true, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, biasType<cublasGemvTensorStridedBatched<float>::value_type, float>::type>)",18,7.146604999999865,7.146604999999865,0.0,0.0,compute_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",18,7.134191000000341,7.134191000000341,0.0,0.0,compute_bound_likely
aten::cat,14,6.7039740000000165,6.7039740000000165,0.1747760000000708,19.29736328125,mixed
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_alignedK_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1, 16>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",9,6.468738999999973,6.468738999999973,0.0,0.0,io_bound_likely
ampere_sgemm_32x128_tn,57,6.046649000000005,6.046649000000005,0.0,0.0,compute_bound_likely
ampere_sgemm_32x128_nn,45,5.293902999999744,5.293902999999744,0.0,0.0,compute_bound_likely
Memcpy DtoD (Device -> Device),53,4.7950830000001,4.7950830000001,0.0,0.0,mixed
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 5, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",18,4.70772300000026,4.70772300000026,0.0,0.0,mixed
ampere_sgemm_64x64_tn,4,3.5006310000001104,3.5006310000001104,0.0,0.0,compute_bound_likely
