op,calls,self_device_ms,device_total_ms,self_cpu_ms,self_device_mem_mb,intensity_hint
aten::bmm,33,72.47095799999998,72.47095799999998,0.4491319999999541,1454.541015625,compute_bound_likely
aten::copy_,158,49.503950999999915,49.503950999999915,0.5394849999998697,0.0,io_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",141,46.873111999999935,46.873111999999935,0.0,0.0,io_bound_likely
ampere_sgemm_128x128_nt,2,37.79151000000001,37.79151000000001,0.0,0.0,compute_bound_likely
aten::mul,213,29.78699899999982,29.78699899999982,1.6207239999999061,4348.98388671875,mixed
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",94,27.262397999999987,27.262397999999987,0.0,0.0,compute_bound_likely
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",105,24.681134999999756,24.681134999999756,0.0,0.0,compute_bound_likely
aten::add_,84,22.01343300000002,22.01343300000002,0.34095500000024914,0.0,compute_bound_likely
aten::mm,89,12.97030600000017,12.97030600000017,1.2484450000001812,1663.2568359375,compute_bound_likely
aten::sum,33,10.417902999999903,10.417902999999903,0.22295700000037322,274.07421875,mixed
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",24,9.750657999999937,9.750657999999937,0.0,0.0,compute_bound_likely
aten::fill_,92,9.010259999999885,9.010259999999885,0.23277600000028542,0.0,compute_bound_likely
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",92,9.010259999999885,9.010259999999885,0.0,0.0,compute_bound_likely
aten::add,38,8.787758999999964,8.787758999999964,0.29656599999991384,866.31884765625,mixed
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",2,8.408168999999994,8.408168999999994,0.0,0.0,compute_bound_likely
ampere_sgemm_128x128_tt,2,8.124482999999978,8.124482999999978,0.0,0.0,compute_bound_likely
aten::cat,14,6.711427999999927,6.711427999999927,0.2089289999998582,18.29736328125,mixed
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_alignedK_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1, 16>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",9,6.475584999999934,6.475584999999934,0.0,0.0,io_bound_likely
aten::scatter_add_,4,6.468609000000029,6.468609000000029,0.07271100000009073,0.0,io_bound_likely
"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, float, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, float, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1})",4,6.468609000000029,6.468609000000029,0.0,0.0,io_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",10,6.11016900000014,6.11016900000014,0.0,0.0,compute_bound_likely
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",4,4.331382000000012,4.331382000000012,0.0,0.0,mixed
ampere_sgemm_128x128_tn,3,4.019791999999958,4.019791999999958,0.0,0.0,compute_bound_likely
aten::gather,3,4.009904000000039,4.009904000000039,0.059361000000033526,994.0029296875,mixed
ampere_sgemm_32x128_tn,32,3.9312750000001104,3.9312750000001104,0.0,0.0,compute_bound_likely
ampere_sgemm_32x128_nn,39,3.8122999999999956,3.8122999999999956,0.0,0.0,compute_bound_likely
"void gemmk1_kernel<int, float, 256, 5, false, false, true, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<float, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float, biasType<cublasGemvTensorStridedBatched<float>::value_type, float>::type>)",9,3.5700870000000577,3.5700870000000577,0.0,0.0,compute_bound_likely
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, float, float, float, float, false, true, true, false, 5, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",12,2.9070350000000325,2.9070350000000325,0.0,0.0,mixed
Memcpy DtoD (Device -> Device),16,2.628150999999954,2.628150999999954,0.0,0.0,mixed
ampere_sgemm_128x128_nn,3,2.0556239999999817,2.0556239999999817,0.0,0.0,compute_bound_likely
"void gemv2N_kernel<int, int, float, float, float, float, 128, 2, 4, 4, 1, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",6,1.8343729999999632,1.8343729999999632,0.0,0.0,mixed
ampere_sgemm_64x64_tn,2,1.7624029999999329,1.7624029999999329,0.0,0.0,compute_bound_likely
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",66,1.5591379999998172,1.5591379999998172,0.0,0.0,mixed
ampere_sgemm_128x32_tt,3,1.5072949999999836,1.5072949999999836,0.0,0.0,compute_bound_likely
ampere_sgemm_128x64_nn,5,1.288027000000031,1.288027000000031,0.0,0.0,compute_bound_likely
