op,calls,self_device_ms,device_total_ms,self_cpu_ms,self_device_mem_mb,intensity_hint
aten::bmm,57,134.83488000000003,134.83488000000003,0.7129849999999278,2221.14453125,compute_bound_likely
ampere_sgemm_128x128_nt,7,79.15444199999997,79.15444199999997,0.0,0.0,compute_bound_likely
aten::copy_,309,70.29273000000036,70.29273000000036,0.9642430000005988,0.0,io_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",255,65.49422300000037,65.49422300000037,0.0,0.0,io_bound_likely
aten::mul,403,52.874538000000044,52.874538000000044,2.6210289999995258,7403.58447265625,mixed
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",225,49.58606699999943,49.58606699999943,0.0,0.0,compute_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",171,47.17326700000011,47.17326700000011,0.0,0.0,compute_bound_likely
aten::add,150,34.40982599999969,34.40982599999969,0.8726199999999321,3615.22216796875,mixed
aten::mm,175,22.27664099999966,22.27664099999966,2.2916299999999605,2289.1748046875,compute_bound_likely
aten::add_,102,22.14752199999988,22.14752199999988,0.4737129999996978,0.0,compute_bound_likely
aten::sum,65,20.636523000000423,20.636523000000423,0.42537700000061884,546.89892578125,mixed
