op,calls,self_device_ms,device_total_ms,self_cpu_ms,self_device_mem_mb,intensity_hint
aten::bmm,57,135.11055299999995,135.11055299999995,0.6988320000000531,2221.14453125,compute_bound_likely
ampere_sgemm_128x128_nt,7,79.35228799999989,79.35228799999989,0.0,0.0,compute_bound_likely
aten::copy_,309,70.42475300000008,70.42475300000008,0.9138920000002836,0.0,io_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",255,65.62465600000007,65.62465600000007,0.0,0.0,io_bound_likely
aten::mul,403,52.8925900000003,52.8925900000003,2.4928890000003125,7403.16845703125,mixed
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",225,49.5900050000006,49.5900050000006,0.0,0.0,compute_bound_likely
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",171,47.18935700000025,47.18935700000025,0.0,0.0,compute_bound_likely
aten::add,150,34.42379500000051,34.42379500000051,0.8342070000003187,3615.22216796875,mixed
aten::mm,175,22.403871000000414,22.403871000000414,2.1348299999998117,2289.1748046875,compute_bound_likely
aten::add_,102,22.154229999999924,22.154229999999924,0.4247809999998426,0.0,compute_bound_likely
aten::sum,65,20.80125300000023,20.80125300000023,0.4238300000001036,546.89892578125,mixed
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",49,19.472948000000326,19.472948000000326,0.0,0.0,compute_bound_likely
aten::fill_,202,17.68659400000009,17.68659400000009,0.40355600000022335,0.0,compute_bound_likely
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",202,17.68659400000009,17.68659400000009,0.0,0.0,compute_bound_likely
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",4,16.787154000000097,16.787154000000097,0.0,0.0,compute_bound_likely
ampere_sgemm_128x128_tn,6,8.74657400000008,8.74657400000008,0.0,0.0,compute_bound_likely
